claim_month,batch1_claims,batch2_claims,absolute_change,pct_change,median_pct_change,q1,q3,iqr,lower_bound,upper_bound,outlier_flag,deviation_from_median_pct
2023-01-01 00:00:00+00:00,83546441,83448047,98394,0.11791048866607987,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-15.757158750755485
2023-02-01 00:00:00+00:00,77902170,77811337,90833,0.11673491743240448,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-16.59706249414641
2023-03-01 00:00:00+00:00,89364722,89259683,105039,0.11767798906478304,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-15.923271428466709
2023-04-01 00:00:00+00:00,80427821,80333668,94153,0.11720241630196694,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-16.263051215775032
2023-05-01 00:00:00+00:00,87772118,87666759,105359,0.12018124224256994,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-14.134786261042965
2023-06-01 00:00:00+00:00,83438281,83338281,100000,0.11999287578297901,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-14.269367382124909
2023-07-01 00:00:00+00:00,77996766,77902367,94399,0.12117603563958461,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-13.424041838145737
2023-08-01 00:00:00+00:00,87163180,87054273,108907,0.1251024174310203,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-10.618782003487825
2023-09-01 00:00:00+00:00,80794958,80692488,102470,0.12698827677738728,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-9.271402721697935
2023-10-01 00:00:00+00:00,87518435,87409116,109319,0.12506590273719279,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-10.644870450666492
2023-11-01 00:00:00+00:00,82030682,81924662,106020,0.12941158060560567,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-7.540038514757648
2023-12-01 00:00:00+00:00,76765093,76667217,97876,0.1276634314246727,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-8.789028792004279
2024-01-01 00:00:00+00:00,83340033,83230887,109146,0.13113641333655376,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-6.307707009913656
2024-02-01 00:00:00+00:00,70342618,70245119,97499,0.1387982558617347,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-0.8335936309635914
2024-03-01 00:00:00+00:00,65143745,65052694,91051,0.1399649951468574,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,0.0
2024-04-01 00:00:00+00:00,69931311,69834675,96636,0.13837824834152948,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,-1.133674033041641
2024-05-01 00:00:00+00:00,70447953,70348558,99395,0.14128932109738485,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,0.9461836862409124
2024-06-01 00:00:00+00:00,64228924,64136568,92356,0.14399897418895255,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,2.88213423496534
2024-07-01 00:00:00+00:00,69215645,69115871,99774,0.1443575817774184,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,3.138346574407481
2024-08-01 00:00:00+00:00,69392336,69286460,105876,0.15280907698271784,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,9.176638646244278
2024-09-01 00:00:00+00:00,67388766,67282800,105966,0.15749344557598674,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,12.52345303247982
2024-10-01 00:00:00+00:00,74930537,74815671,114866,0.15353200534684772,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,9.69314519373592
2024-11-01 00:00:00+00:00,65339320,65236448,102872,0.15769098893918934,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,12.664590724082872
2024-12-01 00:00:00+00:00,66723228,66617800,105428,0.15825800311628424,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,13.069702142477139
2025-01-01 00:00:00+00:00,71233255,71114322,118933,0.16724197975198302,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,19.48843321610908
2025-02-01 00:00:00+00:00,65659717,65542078,117639,0.1794862225759763,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,28.236508269550896
2025-03-01 00:00:00+00:00,70259253,70124433,134820,0.19225823900779349,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,37.36165875336739
2025-04-01 00:00:00+00:00,72023386,71879630,143756,0.19999546463998216,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,Normal,42.88963067525432
2025-05-01 00:00:00+00:00,69516765,69354859,161906,0.23344579216864966,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,High Outlier,66.78869736229986
2025-06-01 00:00:00+00:00,67806492,67533656,272836,0.4040000440669168,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,High Outlier,188.6436309614574
2025-07-01 00:00:00+00:00,69715945,68876923,839022,1.218146751416291,0.1399649951468574,0.12508416008410655,0.15797449602773678,0.03289033594363022,0.07574865616866122,0.2073099999431821,High Outlier,770.3224332185044
